cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU97rDFhnmmll,nah setuju luw,2 tahun yang lalu,@kalolawatuna1349,UCa5509KDnkIbv089pjNDYyg,0,https://yt3.ggpht.com/ytc/AGIKgqOLOlOZp43bMoor81v_UKqmraVss92cfCKg7MqD=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.688487
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU97sNy0_R4gW,kisah gue sebelum invest adalah main MLM. ternyata sulit ya.. kalo ada uang pingin P2Pinvasia ajadeh..,2 tahun yang lalu,@andeliafirmahari668,UCC1CD8r8tcuVpNU9II-faig,0,https://yt3.ggpht.com/ytc/AGIKgqMv4-mbc0NLgW9MQLZfA7GlQpIV1dx9dvo8yeY0=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.693681
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU9910qYYDsnj,aq pengen usaha beberapa minggu lalu tapi ribet. akhirnya aku invest di sana.,2 tahun yang lalu,@eleniwoza8003,UCsgDqoMhjuYA2-vFtSkI05w,0,https://yt3.ggpht.com/ytc/AGIKgqPY6_4UH5iPQxtmBi0DBaWGo5gaxR0wQSiiB3mE=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.697489
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU99Zj3NxhVin,apa Ada yang punya saran buat investasi yang high return selain P2Pinvasia?. gue udah nyoba disana dan ingin cari yg lain.,2 tahun yang lalu,@ujangbujangan4218,UClhSVUQY3I4K9fZ2U12_Ejg,0,https://yt3.ggpht.com/ytc/AGIKgqOR1qv-RqdmgQ1XU6DexwugrNJ05gCC0OnbsPFf=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.702496
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU99ZlIpQpxlO,hari lalu baca blog di BBC gue juga baca ttg P2Pinvasia ini.,2 tahun yang lalu,@hasbipamungkas8000,UCxj3Slfa5Gw5FAIy5ySi4hQ,0,https://yt3.ggpht.com/ytc/AGIKgqMT1wLgXiQqlS_WSHst6LHdvE2JOHY2BktMfHYd=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.705912
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU99ZuhXJ75sc,"daripada main PPC lokal, lbh baek melakukan investasi di sana emang",2 tahun yang lalu,@mbahjambrong4697,UCgl-y7zy7ixwWQJzUzyJy1A,0,https://yt3.ggpht.com/ytc/AGIKgqP1bEEEJfSZGcO7hyG91CsLKSbhrePXh7aMAQW6=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.708846
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU99bOf5h0W9D,beberapa hari lalu temen akuh Yang nama nya Ari juga cerita tentang ini.,2 tahun yang lalu,@dudungblek7310,UCE5WXUCnQXTNcw45Ghq61sw,0,https://yt3.ggpht.com/ytc/AGIKgqPD900x597EdkBqQHWTbCZfRJOcSODUet214U_a=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.7117
UgwNR-_DClUhVopYSfd4AaABAg.97hZqWDoEOU99fEwtlcmmc,memang !. kamu baru tau yaw ???...,2 tahun yang lalu,@rudyderuloqueque2078,UCcCSDFwgqeaVLK2WMAXsTWQ,0,https://yt3.ggpht.com/ytc/AGIKgqNU8SlGm8e5pl6G6mxM6amQynGL4YeiBhB_WRF3=s176-c-k-c0x00ffffff-no-rj,false,true,1618395378.7175
UgwnyBonao7QVo7s1Yl4AaABAg,"Segala aktivitas dihentikan dan diam dirumah okeoke saja. Tapi bagi mereka yang punya beban misal angsuran kendaraan, angsuran perumahan, sewa rumah, dan angsuran2 lain tolong diperhatikan, mungkin dengan cara mengeluarkan kebijakan yg ditujukan kepada bank, leasing, maupun multifinance yg lain. Angsuran dihentikan untuk sementara waktu sampai kondisi kembali normal. Terimakasih",3 tahun yang lalu,@adenovit1941,UC35s6s9sdPSV3GtIPOcXS9Q,0,https://yt3.ggpht.com/ytc/AGIKgqNJ82TjqAO7ENUle0NFSRsWYU5k-TDPf0PZ3cXr=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.207253
Ugy4MNRi6TYbo5eyeyZ4AaABAg,Matamu piicek aku duduk pegawai negri cok kok Kon neng omh ae nguntal opo aku su,3 tahun yang lalu,@rahmadrifai1476,UCWSRTYbN06NBJ8tLQ5aTPtA,0,https://yt3.ggpht.com/Pdr5bDlpfU5SXBKL0XsU4EVRwEDUY4Kj3opYjNlPoF4edwOYpJtW3bbQiU7C4wgRNRC4owzQjg=s176-c-k-c0x00ffffff-no-rj,false,false,1586859379.211483
